Date;Price
06/28/2023;30,078.6
06/27/2023;30,689.1
06/26/2023;30,267.0
06/25/2023;30,465.3
06/24/2023;30,533.6
06/23/2023;30,679.4
06/22/2023;29,890.5
06/21/2023;29,996.9
06/20/2023;28,307.7
06/19/2023;26,845.9
06/18/2023;26,339.7
